# pid 2708282
time	RSS	X pixmaps	CPU	Open files
12:23:02	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:03	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:04	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:05	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:06	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:07	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:08	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:09	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:10	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:11	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:12	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:13	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:14	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:15	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:16	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:17	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:18	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:19	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:20	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:21	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:22	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:23	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:24	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:25	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:26	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:27	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:28	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:29	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:30	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:31	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:32	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:33	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:34	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:35	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
